iter	Passed	Remaining
472	677	754
473	678	752
474	679	750
475	680	749
476	681	747
477	682	745
478	684	744
479	685	742
480	686	741
481	687	739
482	688	737
483	689	735
484	690	733
485	691	731
486	692	729
487	693	727
488	694	726
489	695	724
490	697	722
491	699	721
492	700	720
493	701	718
494	702	717
495	703	715
496	705	713
497	706	711
498	706	709
499	707	707
500	708	706
501	709	704
502	711	702
503	712	700
504	713	699
505	715	698
506	716	696
507	718	695
508	720	694
509	721	692
510	722	691
511	723	689
512	724	687
513	726	686
514	727	685
515	728	683
516	729	681
517	730	680
518	731	678
519	732	676
520	733	674
521	735	673
522	735	671
523	736	669
524	737	667
525	739	666
526	740	664
527	741	663
528	743	661
529	744	660
530	745	658
531	747	657
532	748	655
533	749	654
534	750	652
535	751	650
536	753	649
537	754	647
538	756	646
539	757	645
540	759	644
541	760	642
542	761	640
543	762	639
544	763	637
545	764	635
546	765	633
547	766	632
548	767	630
549	768	629
550	770	627
551	771	625
552	772	624
553	773	622
554	774	620
555	775	619
556	776	617
557	777	615
558	778	614
559	779	612
560	780	611
561	781	609
562	783	607
563	784	606
564	785	604
565	786	603
566	787	601
567	788	599
568	789	598
569	790	596
570	791	594
571	792	592
572	793	591
573	794	589
574	795	588
575	796	586
576	798	585
577	799	583
578	800	581
579	801	580
580	802	578
581	803	577
582	804	575
583	805	574
584	806	572
585	807	570
586	808	568
587	809	567
588	810	565
589	811	564
590	813	562
591	814	561
592	815	559
593	816	557
594	817	556
595	818	554
596	819	553
597	820	551
598	821	549
599	822	548
600	823	546
601	824	545
602	825	543
603	826	541
604	827	540
605	828	538
606	829	537
607	830	535
608	831	534
609	832	532
610	833	530
611	834	529
612	835	527
613	836	525
614	837	524
615	838	522
616	839	521
617	840	519
618	841	518
619	843	516
620	844	515
621	845	513
622	846	512
623	847	510
624	848	509
625	849	507
626	850	506
627	851	504
628	853	503
629	854	501
630	855	500
631	856	498
632	857	497
633	859	495
634	860	494
635	861	492
636	862	491
637	863	489
638	864	488
639	865	486
640	866	485
641	867	483
642	868	482
643	869	480
644	870	479
645	871	477
646	872	476
647	873	474
648	874	473
649	875	471
650	877	470
651	878	468
652	879	467
653	880	465
654	881	464
655	882	462
656	883	461
657	884	459
658	885	458
659	886	456
660	887	455
661	888	453
662	889	452
663	890	450
664	891	449
665	893	447
666	894	446
667	895	444
668	896	443
669	897	442
670	898	440
671	899	438
672	900	437
673	902	436
674	903	434
675	904	433
676	905	431
677	906	430
678	907	429
679	908	427
680	909	426
681	911	424
682	912	423
683	913	421
684	914	420
685	915	418
686	916	417
687	917	416
688	919	414
689	920	413
690	921	412
691	923	410
692	924	409
693	925	408
694	928	407
695	930	406
696	932	405
697	933	403
698	935	402
699	936	401
700	937	400
701	939	398
702	940	397
703	941	395
704	943	394
705	946	394
706	948	393
707	949	391
708	951	390
709	953	389
710	955	388
711	956	387
712	958	385
713	962	385
714	964	384
715	966	383
716	968	382
717	969	380
718	970	379
719	972	378
720	974	376
721	976	376
722	978	374
723	980	373
724	982	372
725	985	371
726	986	370
727	987	369
728	989	367
729	991	366
730	993	365
731	994	364
732	995	362
733	997	361
734	1000	360
735	1002	359
736	1003	358
737	1005	356
738	1006	355
739	1008	354
740	1009	352
741	1010	351
742	1012	350
743	1013	348
744	1015	347
745	1016	346
746	1018	345
747	1022	344
748	1027	344
749	1030	343
750	1033	342
751	1037	342
752	1043	342
753	1044	340
754	1048	340
755	1052	339
756	1056	339
757	1058	337
758	1060	336
759	1064	336
760	1069	336
761	1072	334
762	1073	333
763	1075	332
764	1076	330
765	1077	329
766	1079	327
767	1080	326
768	1085	326
769	1087	324
770	1088	323
771	1090	322
772	1092	320
773	1093	319
774	1095	318
775	1097	316
776	1099	315
777	1102	314
778	1103	313
779	1104	311
780	1106	310
781	1107	308
782	1109	307
783	1112	306
784	1114	305
785	1115	303
786	1117	302
787	1119	301
788	1120	299
789	1121	298
790	1123	296
791	1124	295
792	1126	294
793	1129	292
794	1130	291
795	1131	290
796	1133	288
797	1135	287
798	1137	286
799	1138	284
800	1140	283
801	1142	282
802	1144	280
803	1147	279
804	1148	278
805	1149	276
806	1151	275
807	1152	273
808	1153	272
809	1154	270
810	1155	269
811	1157	267
812	1158	266
813	1159	264
814	1160	263
815	1162	262
816	1163	260
817	1164	259
818	1165	257
819	1166	256
820	1167	254
821	1168	253
822	1170	251
823	1171	250
824	1172	248
825	1174	247
826	1175	245
827	1176	244
828	1177	242
829	1178	241
830	1180	240
831	1181	238
832	1182	237
833	1183	235
834	1184	234
835	1186	232
836	1187	231
837	1188	229
838	1190	228
839	1191	226
840	1192	225
841	1193	223
842	1194	222
843	1195	221
844	1196	219
845	1198	218
846	1199	216
847	1200	215
848	1202	213
849	1204	212
850	1206	211
851	1207	209
852	1208	208
853	1209	206
854	1210	205
855	1211	203
856	1212	202
857	1213	200
858	1214	199
859	1216	197
860	1217	196
861	1218	195
862	1219	193
863	1221	192
864	1222	190
865	1223	189
866	1225	187
867	1226	186
868	1227	185
869	1229	183
870	1230	182
871	1232	180
872	1233	179
873	1234	178
874	1235	176
875	1237	175
876	1238	173
877	1239	172
878	1240	170
879	1241	169
880	1242	167
881	1243	166
882	1245	164
883	1246	163
884	1248	162
885	1249	160
886	1250	159
887	1251	157
888	1252	156
889	1253	154
890	1254	153
891	1255	152
892	1256	150
893	1257	149
894	1259	147
895	1260	146
896	1262	144
897	1263	143
898	1264	142
899	1265	140
900	1266	139
901	1267	137
902	1268	136
903	1270	134
904	1271	133
905	1271	131
906	1273	130
907	1274	129
908	1276	127
909	1277	126
910	1278	124
911	1279	123
912	1280	122
913	1281	120
914	1282	119
915	1283	117
916	1284	116
917	1285	114
918	1286	113
919	1287	111
920	1288	110
921	1289	109
922	1291	107
923	1292	106
924	1293	104
925	1294	103
926	1295	102
927	1296	100
928	1297	99
929	1298	97
930	1299	96
931	1301	94
932	1302	93
933	1303	92
934	1304	90
935	1305	89
936	1306	87
937	1307	86
938	1308	85
939	1310	83
940	1311	82
941	1312	80
942	1313	79
943	1314	77
944	1315	76
945	1316	75
946	1317	73
947	1318	72
948	1319	70
949	1321	69
950	1322	68
951	1323	66
952	1324	65
953	1325	63
954	1326	62
955	1327	61
956	1328	59
957	1329	58
958	1330	56
959	1332	55
960	1334	54
961	1336	52
962	1337	51
963	1338	49
964	1339	48
965	1340	47
966	1342	45
967	1343	44
968	1344	43
969	1345	41
970	1346	40
971	1348	38
972	1349	37
973	1350	36
974	1351	34
975	1353	33
976	1354	31
977	1356	30
978	1357	29
979	1358	27
980	1359	26
981	1360	24
982	1362	23
983	1363	22
984	1364	20
985	1366	19
986	1367	18
987	1368	16
988	1369	15
989	1370	13
990	1371	12
991	1372	11
992	1374	9
993	1375	8
994	1376	6
995	1378	5
996	1380	4
997	1381	2
998	1382	1
999	1383	0
